table_no,sheet_no,table_title,date,series,value,series_type,data_type,collection_month,frequency,series_id,unit,.__txt
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure ;,9859,Trend,DERIVED,3,Quarter,A2304204K,$ Millions,General government - National ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - State and local ;  Final consumption expenditure ;,17452,Trend,DERIVED,3,Quarter,A2304205L,$ Millions,General government - State and local ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government ;  Final consumption expenditure ;,27126,Trend,DERIVED,3,Quarter,A2304206R,$ Millions,General government ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Defence: Percentage changes ;,-3.3,Trend,DERIVED,3,Quarter,A2304241W,Percent,General government - National ;  Final consumption expenditure - Defence: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ;,3.1,Trend,DERIVED,3,Quarter,A2304243A,Percent,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure: Percentage changes ;,1.6,Trend,DERIVED,3,Quarter,A2304245F,Percent,General government - National ;  Final consumption expenditure: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - State and local ;  Final consumption expenditure: Percentage changes ;,2.8,Trend,DERIVED,3,Quarter,A2304247K,Percent,General government - State and local ;  Final consumption expenditure: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government ;  Final consumption expenditure: Percentage changes ;,2.2,Trend,DERIVED,3,Quarter,A2304249R,Percent,General government ;  Final consumption expenditure: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Defence ;,3678,Seasonally Adjusted,DERIVED,3,Quarter,A2304076C,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Non-defence ;,6574,Seasonally Adjusted,DERIVED,3,Quarter,A2304077F,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure ;,9964,Seasonally Adjusted,DERIVED,3,Quarter,A2304078J,$ Millions,General government - National ;  Final consumption expenditure ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - State and local ;  Final consumption expenditure ;,17696,Seasonally Adjusted,DERIVED,3,Quarter,A2304079K,$ Millions,General government - State and local ;  Final consumption expenditure ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government ;  Final consumption expenditure ;,27470,Seasonally Adjusted,DERIVED,3,Quarter,A2304080V,$ Millions,General government ;  Final consumption expenditure ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Defence: Percentage changes ;,-2.2,Seasonally Adjusted,DERIVED,3,Quarter,A2304117L,Percent,General government - National ;  Final consumption expenditure - Defence: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ;,3.7,Seasonally Adjusted,DERIVED,3,Quarter,A2304119T,Percent,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure: Percentage changes ;,1.8,Seasonally Adjusted,DERIVED,3,Quarter,A2304121C,Percent,General government - National ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - State and local ;  Final consumption expenditure: Percentage changes ;,5.4,Seasonally Adjusted,DERIVED,3,Quarter,A2304123J,Percent,General government - State and local ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government ;  Final consumption expenditure: Percentage changes ;,3.8,Seasonally Adjusted,DERIVED,3,Quarter,A2304125L,Percent,General government ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Defence ;,3640,Original,DERIVED,3,Quarter,A2302479K,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Non-defence ;,6637,Original,DERIVED,3,Quarter,A2302480V,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure ;,10012,Original,DERIVED,3,Quarter,A2302481W,$ Millions,General government - National ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - State and local ;  Final consumption expenditure ;,17121,Original,DERIVED,3,Quarter,A2302482X,$ Millions,General government - State and local ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government ;  Final consumption expenditure ;,27056,Original,DERIVED,3,Quarter,A2302483A,$ Millions,General government ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Defence: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303946C,Index Points,General government - National ;  Final consumption expenditure - Defence: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure - Non-defence: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303948J,Index Points,General government - National ;  Final consumption expenditure - Non-defence: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - National ;  Final consumption expenditure: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2298900T,Index Points,General government - National ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government - State and local ;  Final consumption expenditure: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303950V,Index Points,General government - State and local ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-09-01,General government ;  Final consumption expenditure: Contributions to growth ;,0.7,Seasonally Adjusted,DERIVED,3,Quarter,A2303952X,Index Points,General government ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-12-01,General government - National ;  Final consumption expenditure - Defence ;,3491,Trend,DERIVED,3,Quarter,A2304202F,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-12-01,General government - National ;  Final consumption expenditure - Non-defence ;,6535,Trend,DERIVED,3,Quarter,A2304203J,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-12-01,General government - National ;  Final consumption expenditure ;,9811,Trend,DERIVED,3,Quarter,A2304204K,$ Millions,General government - National ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-12-01,General government - State and local ;  Final consumption expenditure ;,18036,Trend,DERIVED,3,Quarter,A2304205L,$ Millions,General government - State and local ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1975-12-01,General government ;  Final consumption expenditure ;,27572,Trend,DERIVED,3,Quarter,A2304206R,$ Millions,General government ;  Final consumption expenditure ; | Trend
