table_no,sheet_no,table_title,date,series,value,series_type,data_type,collection_month,frequency,series_id,unit,.__txt
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Index - Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304396R,Percent,Gross domestic product: Index - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Chain volume measures ;,113040,Seasonally Adjusted,DERIVED,3,Quarter,A2304402X,$ Millions,Gross domestic product: Chain volume measures ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per capita: Chain volume measures ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304404C,$,GDP per capita: Chain volume measures ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Current prices ;,7094,Seasonally Adjusted,DERIVED,3,Quarter,A2304418T,$ Millions,Gross domestic product: Current prices ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per capita: Current prices ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304420C,$,GDP per capita: Current prices ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per hour worked: Index ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304192L,Index Numbers,GDP per hour worked: Index ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Index ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304196W,Index Numbers,Gross domestic product: Index ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Chain volume measures - Percentage changes ;,4.7,Original,DERIVED,3,Quarter,A2302696F,Percent,Gross domestic product: Chain volume measures - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per capita: Chain volume measures - Percentage changes ;,4.3,Original,DERIVED,3,Quarter,A2302697J,Percent,GDP per capita: Chain volume measures - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Current prices - Percentage Changes ;,4,Original,DERIVED,3,Quarter,A2302704V,Percent,Gross domestic product: Current prices - Percentage Changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per hour worked: Index - Percentage changes ;,,Original,DERIVED,3,Quarter,A2302454R,Percent,GDP per hour worked: Index - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Index - Percentage changes ;,,Original,DERIVED,3,Quarter,A2302456V,Percent,Gross domestic product: Index - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Chain volume measures ;,110706,Original,DERIVED,3,Quarter,A2302459A,$ Millions,Gross domestic product: Chain volume measures ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per capita: Chain volume measures ;,9334,Original,DERIVED,3,Quarter,A2302460K,$,GDP per capita: Chain volume measures ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Current prices ;,7016,Original,DERIVED,3,Quarter,A2302467A,$ Millions,Gross domestic product: Current prices ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per capita: Current prices ;,592,Original,DERIVED,3,Quarter,A2302468C,$,GDP per capita: Current prices ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,GDP per hour worked: Index ;,,Original,DERIVED,3,Quarter,A2302474X,Index Numbers,GDP per hour worked: Index ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-09-01,Gross domestic product: Index ;,,Original,DERIVED,3,Quarter,A2302476C,Index Numbers,Gross domestic product: Index ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Chain volume measures - Percentage changes ;,0.6,Trend,DERIVED,3,Quarter,A2298668K,Percent,Gross domestic product: Chain volume measures - Percentage changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Chain volume measures - Percentage changes ;,,Trend,DERIVED,3,Quarter,A2304308C,Percent,GDP per capita: Chain volume measures - Percentage changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Current prices - Percentage Changes ;,1.5,Trend,DERIVED,3,Quarter,A2304322X,Percent,Gross domestic product: Current prices - Percentage Changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per hour worked: Index - Percentage changes ;,,Trend,DERIVED,3,Quarter,A2304328L,Percent,GDP per hour worked: Index - Percentage changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Chain volume measures ;,113333,Trend,DERIVED,3,Quarter,A2304334J,$ Millions,Gross domestic product: Chain volume measures ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Chain volume measures ;,,Trend,DERIVED,3,Quarter,A2304336L,$,GDP per capita: Chain volume measures ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Current prices ;,7216,Trend,DERIVED,3,Quarter,A2304350J,$ Millions,Gross domestic product: Current prices ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Current prices ;,,Trend,DERIVED,3,Quarter,A2304352L,$,GDP per capita: Current prices ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per hour worked: Index ;,,Trend,DERIVED,3,Quarter,A2304364W,Index Numbers,GDP per hour worked: Index ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Chain volume measures - Percentage changes ;,0.9,Seasonally Adjusted,DERIVED,3,Quarter,A2304370T,Percent,Gross domestic product: Chain volume measures - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Chain volume measures - Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304372W,Percent,GDP per capita: Chain volume measures - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Current prices - Percentage Changes ;,2,Seasonally Adjusted,DERIVED,3,Quarter,A2304386K,Percent,Gross domestic product: Current prices - Percentage Changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per hour worked: Index - Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304392F,Percent,GDP per hour worked: Index - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Index - Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304396R,Percent,Gross domestic product: Index - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Chain volume measures ;,114020,Seasonally Adjusted,DERIVED,3,Quarter,A2304402X,$ Millions,Gross domestic product: Chain volume measures ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Chain volume measures ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304404C,$,GDP per capita: Chain volume measures ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Current prices ;,7235,Seasonally Adjusted,DERIVED,3,Quarter,A2304418T,$ Millions,Gross domestic product: Current prices ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Current prices ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304420C,$,GDP per capita: Current prices ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per hour worked: Index ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304192L,Index Numbers,GDP per hour worked: Index ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Index ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304196W,Index Numbers,Gross domestic product: Index ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Chain volume measures - Percentage changes ;,14.6,Original,DERIVED,3,Quarter,A2302696F,Percent,Gross domestic product: Chain volume measures - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Chain volume measures - Percentage changes ;,14.1,Original,DERIVED,3,Quarter,A2302697J,Percent,GDP per capita: Chain volume measures - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Current prices - Percentage Changes ;,13.1,Original,DERIVED,3,Quarter,A2302704V,Percent,Gross domestic product: Current prices - Percentage Changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per hour worked: Index - Percentage changes ;,,Original,DERIVED,3,Quarter,A2302454R,Percent,GDP per hour worked: Index - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Index - Percentage changes ;,,Original,DERIVED,3,Quarter,A2302456V,Percent,Gross domestic product: Index - Percentage changes ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Chain volume measures ;,126853,Original,DERIVED,3,Quarter,A2302459A,$ Millions,Gross domestic product: Chain volume measures ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Chain volume measures ;,10649,Original,DERIVED,3,Quarter,A2302460K,$,GDP per capita: Chain volume measures ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Current prices ;,7934,Original,DERIVED,3,Quarter,A2302467A,$ Millions,Gross domestic product: Current prices ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per capita: Current prices ;,666,Original,DERIVED,3,Quarter,A2302468C,$,GDP per capita: Current prices ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,GDP per hour worked: Index ;,,Original,DERIVED,3,Quarter,A2302474X,Index Numbers,GDP per hour worked: Index ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1967-12-01,Gross domestic product: Index ;,,Original,DERIVED,3,Quarter,A2302476C,Index Numbers,Gross domestic product: Index ; | Original
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Chain volume measures - Percentage changes ;,1,Trend,DERIVED,3,Quarter,A2298668K,Percent,Gross domestic product: Chain volume measures - Percentage changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per capita: Chain volume measures - Percentage changes ;,,Trend,DERIVED,3,Quarter,A2304308C,Percent,GDP per capita: Chain volume measures - Percentage changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Current prices - Percentage Changes ;,1.9,Trend,DERIVED,3,Quarter,A2304322X,Percent,Gross domestic product: Current prices - Percentage Changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per hour worked: Index - Percentage changes ;,,Trend,DERIVED,3,Quarter,A2304328L,Percent,GDP per hour worked: Index - Percentage changes ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Chain volume measures ;,114440,Trend,DERIVED,3,Quarter,A2304334J,$ Millions,Gross domestic product: Chain volume measures ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per capita: Chain volume measures ;,,Trend,DERIVED,3,Quarter,A2304336L,$,GDP per capita: Chain volume measures ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Current prices ;,7350,Trend,DERIVED,3,Quarter,A2304350J,$ Millions,Gross domestic product: Current prices ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per capita: Current prices ;,,Trend,DERIVED,3,Quarter,A2304352L,$,GDP per capita: Current prices ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per hour worked: Index ;,,Trend,DERIVED,3,Quarter,A2304364W,Index Numbers,GDP per hour worked: Index ; | Trend
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Chain volume measures - Percentage changes ;,-0.9,Seasonally Adjusted,DERIVED,3,Quarter,A2304370T,Percent,Gross domestic product: Chain volume measures - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per capita: Chain volume measures - Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304372W,Percent,GDP per capita: Chain volume measures - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Current prices - Percentage Changes ;,1.5,Seasonally Adjusted,DERIVED,3,Quarter,A2304386K,Percent,Gross domestic product: Current prices - Percentage Changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per hour worked: Index - Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304392F,Percent,GDP per hour worked: Index - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Index - Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304396R,Percent,Gross domestic product: Index - Percentage changes ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,Gross domestic product: Chain volume measures ;,113001,Seasonally Adjusted,DERIVED,3,Quarter,A2304402X,$ Millions,Gross domestic product: Chain volume measures ; | Seasonally Adjusted
5206001_key_aggregates,Data1,Table 1. Key National Accounts Aggregates,1968-03-01,GDP per capita: Chain volume measures ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304404C,$,GDP per capita: Chain volume measures ; | Seasonally Adjusted
